model,dataset,passage,question,answer
nemotron-mini,qg_squadshifts_new_wiki,There are several policies dealing with homelessness. In 1980 the government decided to start sendin,When was the problem with homelessness first identified by the government?,1987
nemotron-mini,qg_squadshifts_new_wiki,There are several policies dealing with homelessness. In 1980 the government decided to start sendin,What year did President Bush commit to ending chronic homelessness in ten years?,2002
nemotron-mini,qg_squadshifts_new_wiki,There are several policies dealing with homelessness. In 1980 the government decided to start sendin,When was the funding for homeless first sent by the government?,1980
nemotron-mini,qg_squadshifts_new_wiki,There are several policies dealing with homelessness. In 1980 the government decided to start sendin,"What type of housing program is Section 8, and what does it assist in doing?",core housing program that helps extremely low-income families accommodate gap between their incomes
nemotron-mini,qg_squadshifts_new_wiki,"Organotin compounds, sometimes called stannanes, are chemical compounds with tin–carbon bonds. Of th",Who discovered organotin compounds?,Edward Frankland
nemotron-mini,qg_squadshifts_new_wiki,"Organotin compounds, sometimes called stannanes, are chemical compounds with tin–carbon bonds. Of th",What is another name for organotin compounds?,stannanes
nemotron-mini,qg_squadshifts_new_wiki,According to the US Department of Housing and Urban Development's 2008 Annual Homeless Assessment Re,What is the most common demographic feature of all sheltered homeless people?,male
nemotron-mini,qg_squadshifts_new_wiki,According to the US Department of Housing and Urban Development's 2008 Annual Homeless Assessment Re,How many percent of sheltered homeless people are members of minority groups?,40 percent
nemotron-mini,qg_squadshifts_new_wiki,According to the US Department of Housing and Urban Development's 2008 Annual Homeless Assessment Re,What is the most common age group for sheltered homeless people?,older than age 31
nemotron-mini,qg_squadshifts_new_wiki,According to the US Department of Housing and Urban Development's 2008 Annual Homeless Assessment Re,How many percent of sheltered homeless have a disability?,More than 40 percent
nemotron-mini,qg_squadshifts_new_wiki,According to the US Department of Housing and Urban Development's 2008 Annual Homeless Assessment Re,"What is the percentage of sheltered homeless people who are white, non-Hispanic?",38 percent
nemotron-mini,qg_squadshifts_new_wiki,"The city of San Francisco, California has a significant and visible homeless problem. Approximately ",What is the approximate percentage of homeless population in San Francisco that were already living and working there when they became homeless?,"61% (6,700 - 10,000)"
nemotron-mini,qg_squadshifts_new_wiki,"The city of San Francisco, California has a significant and visible homeless problem. Approximately ","How many available shelter beds are there for the approximately 10,000 people sleeping outdoors in San Francisco?","1,339"
nemotron-mini,qg_squadshifts_new_wiki,"The city of San Francisco, California has a significant and visible homeless problem. Approximately ",What is the approximate amount of money that San Francisco spends on homelessness-related programs each year?,$200 million
nemotron-mini,qg_squadshifts_new_wiki,"The city of San Francisco, California has a significant and visible homeless problem. Approximately ",When was an attempt to scale back homelessness in San Francisco made official and what strategy did it adopt?,"May 3, 2004; 'Care Not Cash' plan."
nemotron-mini,qg_squadshifts_new_wiki,"The ice hockey stick consists of a long, relatively wide, and slightly curved flat blade, attached t",What are two important factors that impact on ice hockey stick performance?,The curve and flex.
nemotron-mini,qg_squadshifts_new_wiki,"The ice hockey stick consists of a long, relatively wide, and slightly curved flat blade, attached t",How does a shallow curve help with backhand shots?,easier backhand shots
nemotron-mini,qg_squadshifts_new_wiki,"The ice hockey stick consists of a long, relatively wide, and slightly curved flat blade, attached t",What is the typical characteristic of less flexible sticks?,stronger player
nemotron-mini,qg_squadshifts_new_wiki,"The ice hockey stick consists of a long, relatively wide, and slightly curved flat blade, attached t",Why is the stick unique to ice hockey and most suited for flat puck control?,Its unique shape contributed to early development.
nemotron-mini,qg_squadshifts_new_wiki,"In Pakistan, the equivalent degree is MBBS (Bachelor of Medicine and Bachelor of Surgery). The MBBS ",What is required to obtain a specialized degree?,"one has to pass the Fellow of College of Physicians & Surgeons Pakistan (FCPS) exam part 1 in the field of specialization and obtain an internship in that field for three to six years, then one can take the FCPS exam part 2 which includes intensive practical exams. Upon successful completion a fellowship is awarded."
nemotron-mini,qg_squadshifts_new_wiki,"In Pakistan, the equivalent degree is MBBS (Bachelor of Medicine and Bachelor of Surgery). The MBBS ",What are some basic medical sciences offered at these universities?,"Anatomy, Physiology, Biochemistry, Pathology etc."
nemotron-mini,qg_squadshifts_new_wiki,"In Pakistan, the equivalent degree is MBBS (Bachelor of Medicine and Bachelor of Surgery). The MBBS ",How long does it take to obtain an M.Phil degree?,a minimum of two years of Demonstratorship in relevant subjects in a recognized Medical College and the course is two to four years
nemotron-mini,qg_squadshifts_new_wiki,The Republican House and Senate caucuses have separate fundraising and strategy committees. The Nati,Who assists with Senate races?,National Republican Senatorial Committee (NRSC)
nemotron-mini,qg_squadshifts_new_wiki,The Republican House and Senate caucuses have separate fundraising and strategy committees. The Nati,What is the name of one committee that helps state candidates?,Republican Governors Association (RGA)
