model,dataset,passage,question,answer
phi,qg_squad,There have been two major trends in the changing status of pet dogs. The first has been the 'commodi,What are two changes in how people view their pets?,"People have commodified their pets by making them conform to human standards, while also expanding the definition of a pet-friendly environment to include dogs as part of daily routines and activities. "
phi,qg_squad,Media anthropology (also known as anthropology of media or mass media) emphasizes ethnographic studi,What is Media Anthropology?,"Media anthropology emphasizes ethnographic studies of mass media, including contexts such as media production and reception by audiences."
phi,qg_squad,Media anthropology (also known as anthropology of media or mass media) emphasizes ethnographic studi,What types of contexts are explored in media anthropology?,"Ethnographic contexts related to mass media production and media reception by audiences, cyber anthropology, and other areas of research which involve media."
phi,qg_squad,Media anthropology (also known as anthropology of media or mass media) emphasizes ethnographic studi,When did the rise of new media make its presence felt?,The rise of new media since the early 1990s.
phi,qg_squad,The Internet was extensively used for passing information to aid rescue and recovery efforts. For ex,How did people use the Internet to help with disaster relief efforts?,"People used it to pass information, store contact information for victims and evacuees, and propose landing spots for rescue helicopters."
phi,qg_squad,The Internet was extensively used for passing information to aid rescue and recovery efforts. For ex,Why was it difficult for rescue helicopters in Wenchuan county?,The area had dense fog and turbulence.
phi,qg_squad,"In addition, France's education system includes many institutes of technology, embedded within most ",What are France' education system's institute of technology?,"They include many institutes of technology, embedded within most French universities. They are referred-to as institut universitaire de technologie (IUT). Institut universitaires de technologie provide undergraduate technology curricula."
phi,qg_squad,"In addition, France's education system includes many institutes of technology, embedded within most ",What is the structure of polytech institutes in France?,"They provide both undergraduate and graduate engineering curricula, embedded as a part of eleven French universities."
phi,qg_squad,"This period marks the first known spread of Buddhism beyond India. According to the edicts of Aśoka,",How was Buddhism spread beyond India?,"It was spread through the use of emissaries sent to various countries west of India, particularly in eastern provinces of the neighboring Seleucid Empire and even farther to Hellenistic kingdoms of the Mediterranean."
phi,qg_squad,"This period marks the first known spread of Buddhism beyond India. According to the edicts of Aśoka,","According to Aśoka's edicts, what was the purpose of sending these emissaries?",The purpose of sending these emissaries was to spread Buddhism (Dharma) throughout various countries outside of India
phi,qg_squad,"This period marks the first known spread of Buddhism beyond India. According to the edicts of Aśoka,",What are some of the controversies surrounding the spread of Buddhism beyond India?,Some scholars disagree on whether or not these emissaries were accompanied by Buddhist missionaries.
phi,qg_squad,The nine largest and most renowned Technische Universitäten in Germany have formed TU9 German Instit,What are the nine largest and most renowned Technische Universitäten in Germany?,They have formed TU9 German Institutes of Technology as community of interests.
phi,qg_squad,The nine largest and most renowned Technische Universitäten in Germany have formed TU9 German Instit,What faculties or departments do Technische Universitäte normally have?,They have faculties or departements of natural sciences and often of economics but can also have units of cultural and social sciences and arts.
phi,qg_squad,The nine largest and most renowned Technische Universitäten in Germany have formed TU9 German Instit,Which universities in Germany have a faculty of medicine associated with university hospitals?,"RWTH Aachen, TU Dresden and TU München have a faculty of medicine associated with university hospitals (Klinikum Aachen, University Hospital Dresden, Rechts der Isar Hospital)."
phi,qg_squad,"Four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomuc",Generated Question,"The four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomucen Białobłocki, Jan Matuszyński and Julian Fontana; the latter two would become part of his Paris milieu."
phi,qg_squad,"Four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomuc","Jan Matuszyński was one of Chopin's,",Polish friends and fellow students at the Conservatoire de Paris who were also his intimates. Chopin met Jan Matuszynska during his third year of study at the conservatory.
phi,qg_squad,"Four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomuc","Chopin F., third-year student, exceptional talent,","and musical genius is evident in his final Conservatoire report, which was submitted on July 2, 1829. It reads: 'The composer is of a remarkable and outstanding quality, an extraordinary musician.'"
phi,qg_squad,"Four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomuc","What was the influence of Chopin's fascination with Konstancja Gładkowska,",on his musical compositions.
phi,qg_squad,"The U.S. recession that began in December 2007 ended in June 2009, according to the U.S. National Bu",When did the U.S. recession that began in December 2007 end?,"The U.S. recession that began in December 2007 ended in June 2009, according to the U.S. National Bureau of Economic Research (NBER) and the financial crisis appears to have ended about the same time."
phi,qg_squad,"The U.S. recession that began in December 2007 ended in June 2009, according to the U.S. National Bu",When did TIME magazine declare that the Banking Crisis was over?,"In April 2009, TIME Magazine declared 'More Quickly Than It Began, The Banking Crisis Is Over.'"
phi,qg_squad,On May 16 China stated it had also received $457 million in donated money and goods for rescue effor,How much money did Saudi Arabia donate to China for rescue efforts?,$40 million
phi,qg_squad,On May 16 China stated it had also received $457 million in donated money and goods for rescue effor,What was the largest aid donor to China?,Saudi Arabia
phi,qg_squad,On May 16 China stated it had also received $457 million in donated money and goods for rescue effor,How many countries and international organizations provided financial assistance to China?,19
phi,qg_squad,The domestic TV BBC television channels are broadcast without any commercial advertising and collect,What is the percentage of UK viewing accounted for by the domestic TV BBC channels?,More than 30%
phi,qg_squad,The domestic TV BBC television channels are broadcast without any commercial advertising and collect,How are the BBC channels funded?,By a television licence.
phi,qg_squad,Writing in 1998 Kurt Jonassohn and Karin Björnson stated that the CPPCG was a legal instrument resul,What is a diplomatic compromise?,A diplomatic compromise occurs when two or more nations agree to settle their differences through negotiation rather than conflict.
phi,qg_squad,Writing in 1998 Kurt Jonassohn and Karin Björnson stated that the CPPCG was a legal instrument resul,Is the CPPCG a legal instrument?,"Yes, the CPPCG was established in 1998 and is considered a legal instrument resulting from a diplomatic compromise."
phi,qg_squad,The term Iranian is applied to any language which descends from the ancestral Proto-Iranian language,What does the term 'Iranian' refer to?,"Any language descended from the ancestral Proto-Iranian language, including Persian and Sanskrit"
phi,qg_squad,Tibetan sources say Deshin Shekpa also persuaded the Yongle Emperor not to impose his military might,What persuaded the Yongle Emperor not to impose his military might on Tibet?,Deshin Shekpa's persuasion that imposing such power would be detrimental to the Tibetan Buddhist schools.
phi,qg_squad,Tibetan sources say Deshin Shekpa also persuaded the Yongle Emperor not to impose his military might,Why did the Yongle Emperor begin planning to send a military force into Tibet?,To forcefully give the Karmapa authority over all the Tibetan Buddhist schools.
phi,qg_squad,Tibetan sources say Deshin Shekpa also persuaded the Yongle Emperor not to impose his military might,What did Deshin Shekpa do to dissuade the emperor from his plan?,Deshin Shekpa persuaded the Yongle Emperor not to impose his military might on Tibet as the Mongols had previously done.
phi,qg_squad,Tibetan sources say Deshin Shekpa also persuaded the Yongle Emperor not to impose his military might,Why was Thinley skeptical of the statement that Deshin Shekpa dissuaded the emperor from imposing military force?,Thinley writes that he is unaware of evidence supporting this claim and suggests that it may have been a ploy to gain favor with the Yongle Emperor.
phi,qg_squad,Notre Dame teams are known as the Fighting Irish. They compete as a member of the National Collegiat,What is the name of Notre Dame's athletic conference?,Atlantic Coast Conference (ACC)
phi,qg_squad,Notre Dame teams are known as the Fighting Irish. They compete as a member of the National Collegiat,When did Notre Dame begin competing in the ACC?,The Fighting Irish began to compete in the ACC primarily in the 2013–14 school year.
phi,qg_squad,Notre Dame teams are known as the Fighting Irish. They compete as a member of the National Collegiat,"Which conference did Notre Dame previously belong to from 1987-92, and again from 1995-98?",Horizon League
phi,qg_squad,Notre Dame teams are known as the Fighting Irish. They compete as a member of the National Collegiat,What is the name of the NCAA division that Notre Dame teams are part of?,National Collegiate Athletic Association (NCAA) Division I
phi,qg_squad,Notre Dame teams are known as the Fighting Irish. They compete as a member of the National Collegiat,In which conference do men's sports compete in?,Atlantic Coast Conference (ACC)
phi,qg_squad,"Because of its coastal location, the economy of Plymouth has traditionally been maritime, in particu",What has traditionally been Plymouth's economy?,"The maritime sector, with a focus on the defence industry."
phi,qg_squad,"Because of its coastal location, the economy of Plymouth has traditionally been maritime, in particu",How many people are employed in the defence sector?,"Over 12,000."
phi,qg_squad,"Because of its coastal location, the economy of Plymouth has traditionally been maritime, in particu",What is the term of origin for Plymouth Gin?,Since 1783. It was exported by the Royal Navy and became widely distributed around the world.
phi,qg_squad,"Because of its coastal location, the economy of Plymouth has traditionally been maritime, in particu",When did employment in the defence sector decrease significantly?,In the 1990s.
phi,qg_squad,"Because of its coastal location, the economy of Plymouth has traditionally been maritime, in particu",What are some prominent areas of employment in Plymouth's public sector?,"Administration, health, education, medicine and engineering."
phi,qg_squad,"On September 11, 2008, West and his road manager/bodyguard Don ""Don C."" Crowley were arrested at Los",On what charges were West and his road manager/bodyguard Don C. Crowley arrested?,Felony vandalism
phi,qg_squad,"On September 11, 2008, West and his road manager/bodyguard Don ""Don C."" Crowley were arrested at Los",What was West's bail bond for?,"$20,000"
phi,qg_squad,"Bond and Swann return to London where they meet M, Bill Tanner, Q, and Moneypenny; they intend to ar",What is the name of the organization that C works for?,Nine Eyes
phi,qg_squad,"Bond and Swann return to London where they meet M, Bill Tanner, Q, and Moneypenny; they intend to ar",Why does Swann leave Bond and MI6 behind?,Swann cannot be part of a life involving espionage.
phi,qg_squad,"Bond and Swann return to London where they meet M, Bill Tanner, Q, and Moneypenny; they intend to ar",What happens to C in the end?,C falls to his death after a brief struggle with M.
phi,qg_squad,"Bond and Swann return to London where they meet M, Bill Tanner, Q, and Moneypenny; they intend to ar",What is Bond's plan for stopping Nine Eyes from going online?,"Bond, Q, and Moneypenny intend to arrest C and stop Nine Eyes from going online."
phi,qg_squad,"Bond and Swann return to London where they meet M, Bill Tanner, Q, and Moneypenny; they intend to ar",What happens to the old MI6 building in the end?,"The building is scheduled for demolition, but Bond manages to free himself before it collapses."
phi,qg_squad,"Malaysia: The event was held in the capital city, Kuala Lumpur, on April 21. The 16.5 km long-relay ",When was the event held?,"The event was held on April 21, 2021"
phi,qg_squad,"Malaysia: The event was held in the capital city, Kuala Lumpur, on April 21. The 16.5 km long-relay ",How long is the relay?,The relay was 16.5 km long
phi,qg_squad,"Malaysia: The event was held in the capital city, Kuala Lumpur, on April 21. The 16.5 km long-relay ",Where did the torch pass by?,"The torch passed next to several city landmarks including the Parliament House, National Mosque, KL Tower, and Merdeka Stadium"
phi,qg_squad,"Malaysia: The event was held in the capital city, Kuala Lumpur, on April 21. The 16.5 km long-relay ",How many personnel from the Malaysian police were involved in the event?,A team of 1000 personnel from the Malaysian police Special Action Squad guarded the event
phi,qg_squad,"Malaysia: The event was held in the capital city, Kuala Lumpur, on April 21. The 16.5 km long-relay ",When was the last time an Olympic torch relay was held in Malaysia?,The last time an Olympic torch relay was held in Malaysia was the 1964 Tokyo edition
phi,qg_squad,"The biologist Lynn Margulis, famous for her work on endosymbiosis, contends that symbiosis is a majo",What is Lynn Margulis famous for?,Her work on endosymbiosis
phi,qg_squad,"Kolmaš writes that, as the Mongol presence in Tibet increased, culminating in the conquest of Tibet ",When did the Ming emperors view the increasing Mongol presence in Tibet with apparent unconcern?,"The Ming emperors viewed with apparent unconcern these developments in Tibet when the Mongol presence increased, culminating in the conquest of Tibet by a Mongol leader in 1642."
phi,qg_squad,"Kolmaš writes that, as the Mongol presence in Tibet increased, culminating in the conquest of Tibet ",What was the reason why the Mongols pounced on the chance to reclaim their old vassal of Tibet?,The Ming court' lack of concern for Tibet was one of the reasons why the Mongols pounced on the chance to reclaim their old vassal of Tibet and 'fill once more the political vacuum in that country.'
phi,qg_squad,"Kolmaš writes that, as the Mongol presence in Tibet increased, culminating in the conquest of Tibet ","What did the Chinese view these developments with interest, though few Chinese ever became devout Tibetan Buddhists?","The mass Mongol conversion to Tibetan Buddhism under Altan Khan. The Chinese watched these developments with interest, though few Chinese ever became devout Tibetan Buddhists."
phi,qg_squad,"A sconce is a wall-mounted fixture, particularly one that shines up and sometimes down as well. A to",What is a sconce?,"A sconce is a wall-mounted fixture, particularly one that shines up and sometimes down as well."
phi,qg_squad,"A sconce is a wall-mounted fixture, particularly one that shines up and sometimes down as well. A to",What is a torchiere?,A torchiere is an uplight intended for ambient lighting. It is typically a floor lamp but may be wall-mounted like a sconce.
phi,qg_squad,Ethnically and linguistically the population of the Republic of the Congo is diverse—Ethnologue reco,How many ethnic groups are recognized by Ethnologue in the Republic of the Congo?,62
phi,qg_squad,Ethnically and linguistically the population of the Republic of the Congo is diverse—Ethnologue reco,What is the largest ethnic group in the Republic of the Congo? ,The Kongo.
phi,qg_squad,Ethnically and linguistically the population of the Republic of the Congo is diverse—Ethnologue reco,Which subgroup of the Kongo lives around Pointe-Noire and along the Atlantic coast?,Vili.
phi,qg_squad,Ethnically and linguistically the population of the Republic of the Congo is diverse—Ethnologue reco,What is the percentage of Boulangui population in the Republic of Congo? ,12%
phi,qg_squad,Ethnically and linguistically the population of the Republic of the Congo is diverse—Ethnologue reco,"What is the ethnicity of Pygmies, who make up 2% of Congo's population?",Pygmies.
phi,qg_squad,"Since the mid-1990s, the term has been applied to some technically minded technical and further educ",When was the term 'TAFE' first applied to some technical and further education institutes?,The mid-1990s
phi,qg_squad,"Since the mid-1990s, the term has been applied to some technically minded technical and further educ",What recent example of TAFE is mentioned in the passage?,Melbourne Polytechnic rebranding and repositioning in 2014.
phi,qg_squad,"Since the mid-1990s, the term has been applied to some technically minded technical and further educ",What kind of education do TAFE primarily offer?,"Vocational education, although some like Melbourne Polytechnic are expanding into higher education offering vocationally oriented applied bachelor degress."
phi,qg_squad,"Since the mid-1990s, the term has been applied to some technically minded technical and further educ",Which state is the new terminology of TAFE most prevalent in historically?,NSW and the ACT.
phi,qg_squad,American Idol is an American singing competition series created by Simon Fuller and produced by 19 E,When did American Idol begin airing on Fox?,"June 11th, 2002"
phi,qg_squad,American Idol is an American singing competition series created by Simon Fuller and produced by 19 E,Who produced American Idol?,Simon Fuller and FremantleMedia North America
phi,qg_squad,American Idol is an American singing competition series created by Simon Fuller and produced by 19 E,What is the concept of American Idol?,"To find new solo recording artists with the winner determined by viewers through telephone, Internet, and SMS text voting"
phi,qg_squad,"The book was made into the well-received 1962 film with the same title, starring Gregory Peck as Att",What is the name of the movie made into a well-received film with Gregory Peck as Atticus Finch?,To Kill a Mockingbird.
phi,qg_squad,"The book was made into the well-received 1962 film with the same title, starring Gregory Peck as Att",How much did the movie To Kill a Mockingbird gross at the box office?,$20 million.
phi,qg_squad,"The book was made into the well-received 1962 film with the same title, starring Gregory Peck as Att",What are some of the Oscars that the movie To Kill a Mockingbird won?,"Best Actor for Gregory Peck, Best Art Direction-Set Decoration, Black-and-White, and Best Writing, Screenplay Based on Material from Another Medium for Horton Foote."
phi,qg_squad,"The book was made into the well-received 1962 film with the same title, starring Gregory Peck as Att",How many Oscars was the movie To Kill a Mockingbird nominated for?,Five more. The Best Actress in a Supporting Role for Mary Badham.
phi,qg_squad,"According to Capitol Record's A&R, Joe Weinberger, he was approached by West and almost signed a dea",Who convinced Capitol'S president not to sign Joe Weinberger?,Another person in the company.
phi,qg_squad,"According to Capitol Record's A&R, Joe Weinberger, he was approached by West and almost signed a dea",What did Damon Dash initially think of West's rap skills?,He saw him more as a producer than a rapper.
phi,qg_squad,Approximately six hundred Mahayana sutras have survived in Sanskrit or in Chinese or Tibetan transla,How many Mahayana sutras have survived in Sanskrit or in Chinese or Tibetan translations?,Approximately six hundred.
phi,qg_squad,Approximately six hundred Mahayana sutras have survived in Sanskrit or in Chinese or Tibetan transla,How many sutras are recognized by East Asian Buddhism as of Chinese rather than Indian origin?,Some sutras regarded by scholars as of Chinese rather than Indian origin.
phi,qg_squad,Many writers compare their perceptions of To Kill a Mockingbird as adults with when they first read ,What is the title of Alice Lee's book about her perceptions of To Kill a Mockingbird?,"Scout, Atticus, and Boo."
phi,qg_squad,Many writers compare their perceptions of To Kill a Mockingbird as adults with when they first read ,Who did Mary McDonagh Murphy interview for the article?,"Celebrities including Oprah Winfrey, Rosanne Cash, Tom Brokaw, and Harper'S sister Alice Lee."
phi,qg_squad,"The Human Development Index (HDI) is a composite statistic of life expectancy, education, and income",What is the Human Development Index (HDI)?,"The HDI is a composite statistic of life expectancy, education, and income per capita indicators, which are used to rank countries into four tiers of human development."
phi,qg_squad,"The Human Development Index (HDI) is a composite statistic of life expectancy, education, and income",Who developed the HDI?,The Pakistani economist Mahbub ul Haq developed the HDI.
phi,qg_squad,"The Human Development Index (HDI) is a composite statistic of life expectancy, education, and income",What factors determine a country's HDI score?,"A country scores higher HDI when the life expectancy at birth is longer, the education period is longer, and the income per capita is higher."
phi,qg_squad,"The Human Development Index (HDI) is a composite statistic of life expectancy, education, and income",What does it mean to say that the HDI was developed by the Pakistani economist Mahbub ul Haq?,It means that the idea for the HDI came from a person named Mahbub ul Haq who was from Pakistan.
phi,qg_squad,"The Human Development Index (HDI) is a composite statistic of life expectancy, education, and income",What does it mean to say that the United Nations Development Programme published the HDI?,It means that an organization called the United Nations Development Programme decided to publish the idea of the HDI and explain what it means.
phi,qg_squad,"By May 15, Premier Wen Jiabao ordered the deployment of an additional 90 helicopters, of which 60 we","What is the total number of aircraft deployed by the air force, army, and civil aviation for the relief operations?","The total number of aircraft deployed is over 150, resulting in the largest non-combat airlifting operation in People's Liberation Army history."
phi,qg_squad,Possibly the first venture into fictional treatments of Chopin's life was a fanciful operatic versio,Who wrote the opera based on Chopin's life?,Giacomo Orefice
phi,qg_squad,Possibly the first venture into fictional treatments of Chopin's life was a fanciful operatic versio,Where was the opera produced in 1901?,Milan
phi,qg_squad,Possibly the first venture into fictional treatments of Chopin's life was a fanciful operatic versio,What is the music for the opera taken from?,Chopin's works
phi,qg_squad,Information of the oldest teachings may be obtained by analysis of the oldest texts. One method to o,What method can be used to obtain information on the oldest core of Buddhism?,By comparing the oldest extant versions of the Theravadin Pali Canon and other texts.
phi,qg_squad,Information of the oldest teachings may be obtained by analysis of the oldest texts. One method to o,What is a potential issue with using these sources for obtaining information on the oldest teachings of Buddhism?,"The reliability of these sources, and the possibility to draw out a core of oldest teachings, is a matter of dispute. Inconsistencies remain, and other methods must be applied to resolve those inconsistencies."
phi,qg_squad,Information of the oldest teachings may be obtained by analysis of the oldest texts. One method to o,"According to Vetter, what is necessary in order to obtain information on the oldest core of Buddhism?",Other methods must be applied to resolve inconsistencies that remain in the sources used to obtain information on the oldest teachings of Buddhism.
phi,qg_squad,"Geologically, Plymouth has a mixture of limestone, Devonian slate, granite and Middle Devonian limes",What is the geological composition of Plymouth?,"Geologically, Plymouth has a mixture of limestone, Devonian slate, granite and Middle Devonian limestone."
phi,qg_squad,"Photometric studies (also sometimes referred to as ""layouts"" or ""point by points"") are often used to",What is a Photometric Study?,"A Photometric Study, also known as a Layout or Point by Points, simulates lighting designs for projects to determine if the proposed setup will deliver intended lighting. It also determines contrast ratio between light and dark areas."
phi,qg_squad,"Photometric studies (also sometimes referred to as ""layouts"" or ""point by points"") are often used to",What can be used to create Photometric Studies?,"Specialized software is often used to create these, which combine the use of two-dimensional digital CAD drawings and Lighting calculation software (i.e. AGi32or Dialux)."
phi,qg_squad,"A number of common human foods and household ingestibles are toxic to dogs, including chocolate soli",What are some examples of common human foods that are toxic to dogs?,"Chocolate solids, onion and garlic, grapes and raisins, macadamia nuts, xylitol, nicotine from tobacco."
phi,qg_squad,"A number of common human foods and household ingestibles are toxic to dogs, including chocolate soli",How can a dog ingest nicotine?,"By scavenging in garbage or ashtrays, eating cigars and cigarettes"
phi,qg_squad,"By the late 20th century, the majority of the world's countries had a prime minister or equivalent m",In what type of government do most countries hold office?,"Most countries have a prime minister or equivalent minister, holding office under either a constitutional monarchy or a ceremonial president."
phi,qg_squad,"By the late 20th century, the majority of the world's countries had a prime minister or equivalent m",Which two countries are exceptions to the system?,The United States and the presidential republics in Latin America modelled on the U.S. system are the main exceptions to this system.
